"","vars","n","mean","sd","min","max","range","se"
"epa_per_play",11,85,0.0300142383005339,0.0916554140392104,-0.184485774974304,0.3212146385623,0.505700413536604,0.0099414254645422
"franchise_qb",14,85,NA,NA,Inf,-Inf,-Inf,NA
"fumbles_per_attempt",9,85,0.00694214015980758,0.00321480338638523,0.000989119683481701,0.0147783251231527,0.013789205439671,0.000348694385202757
"interceptions_per_attempt",8,85,0.0286910587888083,0.00689951529732419,0.0138713745271122,0.0398970398970399,0.0260256653699277,0.000748357506087679
"mean_cpoe",2,65,-0.413899563225195,3.22294568091212,-9.48083169930698,8.58380316119445,18.0646348605014,0.399757212127371
"net_point_differential_change",13,85,52.0352941176471,144.935654611248,-386,365,751,15.7204789545324
"net_win_percentage_change",12,85,0.0764705882352941,0.186967438250281,-0.423076923076923,0.5,0.923076923076923,0.0202794659884074
"passing_completion_percentage",1,85,0.596109235114573,0.0337718111237728,0.526717557251908,0.668335419274093,0.141617862022184,0.0036630672242226
"passing_yards_per_attempt",3,85,6.91560190197962,0.692610895091899,5.41915550978373,8.78512396694215,3.36596845715842,0.0751241992812375
"primary_passing_tds_per_game",4,85,1.31266968325792,0.358292862817167,0.653846153846154,2.69230769230769,2.03846153846154,0.0388623173820425
"primary_rushing_tds_per_game",6,85,0.14841628959276,0.145147021438139,0,0.730769230769231,0.730769230769231,0.0157434049057949
"rushing_yards_per_attempt",5,85,3.91410592397968,1.51099855491267,1,6.97894736842105,5.97894736842105,0.163890804140266
"sacks_per_play",7,85,0.0645746591948763,0.0160024872757133,0.0168150346191889,0.109375,0.0925599653808111,0.00173571344547885
"turnovers_per_attempt",10,85,0.0328640296751398,0.0071417241122958,0.0143487858719647,0.0474934036939314,0.0331446178219667,0.000774628740647432
