"","vars","n","mean","sd","min","max","range","se"
"epa_per_play",11,69,0.0373779805741503,0.0918925408851407,-0.184485774974304,0.3212146385623,0.505700413536604,0.0110625619266766
"days_to_hurts_game",14,69,860.188405797101,547.722054764424,407,2958,2551,65.9379868167055
"fumbles_per_attempt",9,69,0.0066479671373046,0.00297018350735279,0.00185528756957328,0.0145631067961165,0.0127078192265432,0.000357568075353947
"interceptions_per_attempt",8,69,0.0276570056838595,0.00664206694945288,0.0138713745271122,0.0397111913357401,0.0258398168086278,0.000799610895962678
"mean_cpoe",2,60,-0.507002362254772,3.26053131005209,-9.48083169930698,8.58380316119445,18.0646348605014,0.420932782120653
"net_point_differential_change",13,69,69.9275362318841,142.336936510911,-300,365,665,17.135353527481
"net_win_percentage_change",12,69,0.0841694537346711,0.186714518112222,-0.346153846153846,0.5,0.846153846153846,0.0224777865464381
"passing_completion_percentage",1,69,0.600076260889844,0.0343351675524557,0.526717557251908,0.668335419274093,0.141617862022184,0.00413346843664521
"passing_yards_per_attempt",3,69,6.95861630350449,0.684440585945799,5.53924914675768,8.78512396694215,3.24587482018447,0.0823969638256087
"primary_passing_tds_per_game",4,69,1.33110367892977,0.353628289172759,0.653846153846154,2.69230769230769,2.03846153846154,0.0425718432673236
"primary_rushing_tds_per_game",6,69,0.151616499442586,0.152551689067133,0,0.730769230769231,0.730769230769231,0.0183650652280218
"rushing_yards_per_attempt",5,69,3.95622169970438,1.57082643350508,1,6.97894736842105,5.97894736842105,0.189105280247185
"sacks_per_play",7,69,0.064668736490489,0.0158480612140227,0.0355731225296443,0.109375,0.0738018774703557,0.00190788236900561
"turnovers_per_attempt",10,69,0.031676559475251,0.00673686891244765,0.0143487858719647,0.0474934036939314,0.0331446178219667,0.000811023711152008
